V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141
1490,210041,2,2,,,2,3,4,4,4,4,2,3,3,3,4,4,1,2,3,3,2,2,3,4,1,1,1,2,2,4,4,4,4,,1,1,3,1,3,2,3,2,1,1,3,3,1,1,2,,2,2,2,3,3,3,2,3,1,3,3,,2,,,,,1,1,,2,3,2,3,2,3,2,3,3,1,2,3,3,5,2,3,3,,3,,1,3,3,2,2,2,1,2,2,2,2,2,,3,,,2,611,1,1,,2,,,40,1,,1,8,9,3,,,,,,9,4,2,49,4,2,1,611,3,,4,1,100000
1490,210043,2,2,,2,2,,,3,4,,3,4,3,3,3,3,2,2,2,3,2,2,3,3,1,,2,3,3,3,3,3,4,4,3,3,3,1,4,3,3,3,4,4,5,1,3,2,2,2,2,2,2,2,2,2,2,2,3,3,3,1,2,2,2,2,2,,1,,2,3,3,1,3,3,5,3,3,,3,3,,3,,,,2,3,,2,3,2,2,2,2,2,2,2,2,2,2,3,2,2,65,2,611,1,1,,2,,2,49,1,,3,4,8,3,,,,,,2,4,2,49,3,2,,,,,4,1,100000
1490,210054,2,1,1,1,1,1,1,2,4,2,1,2,1,2,4,2,2,4,4,2,2,4,4,2,1,2,2,1,4,2,1,3,4,4,1,3,5,1,1,5,2,1,2,3,2,5,4,1,3,2,2,2,,2,2,3,2,2,2,4,3,1,1,2,2,2,2,2,2,1,2,5,4,3,2,4,2,2,1,1,3,,3,5,3,3,3,,,2,3,2,1,1,1,3,2,3,3,3,1,1,3,1,2,,,,,,,,,2,20,2,,5,,13,6,,,,,,,2,1,49,5,1,,,,,,,100000
1490,210061,2,2,2,2,1,1,2,3,,3,2,4,2,4,4,4,1,1,3,3,1,4,4,4,2,2,1,2,2,1,1,3,4,4,2,2,4,1,4,2,1,1,2,3,1,2,2,3,3,3,2,2,2,2,3,3,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,4,2,2,2,2,3,3,3,3,4,4,3,2,4,2,1,2,3,3,3,2,2,2,1,2,2,1,2,2,2,76,2,611,1,3,,2,,2,46,2,,1,4,9,3,,,,,,,3,4,49,2,4,1,611,1,,3,3,100000
1490,210065,2,2,2,2,1,1,4,4,4,2,1,3,1,4,4,4,1,1,3,3,1,1,3,3,1,1,2,2,2,1,3,3,4,4,2,3,3,1,2,2,3,2,3,3,2,2,3,1,2,1,2,2,2,2,2,2,2,2,2,3,4,1,2,2,2,2,2,2,1,2,2,4,3,2,2,3,3,2,2,2,2,3,3,4,3,3,3,3,3,1,3,3,3,2,2,3,3,3,1,2,2,2,2,2,2,40,2,390,21,3,,2,,2,31,1,,5,1,10,4,,,,,,5,6,97,49,3,4,,,,,2,2,100000
1490,210069,2,2,2,2,2,2,4,4,4,4,2,4,2,3,4,3,1,1,1,1,1,1,2,2,1,3,2,1,2,2,3,,4,4,2,3,4,2,3,3,3,1,4,2,2,3,3,2,1,2,2,2,1,3,3,1,1,2,1,3,2,1,1,2,2,2,2,1,1,1,,2,4,2,1,4,2,1,2,2,2,3,3,3,3,3,4,3,3,2,3,3,3,2,1,2,2,2,1,1,1,2,2,4,2,56,2,1,27,3,,1,,2,22,1,,5,3,13,6,,,,,,4,4,2,49,3,4,,,,,4,1,100000
1490,210073,2,2,2,2,2,3,3,4,4,3,3,4,,,,,1,,4,,2,,4,,,3,2,3,2,2,3,,3,4,3,3,4,1,4,2,3,3,1,3,3,1,,2,1,2,2,2,2,3,2,3,,2,3,3,3,,,,1,,,,1,1,,4,1,1,2,3,1,2,5,2,3,3,4,,3,,,3,3,,2,3,3,2,1,2,3,3,2,3,2,2,2,3,4,70,2,611,1,3,,2,,,62,2,,1,3,8,3,,,,,,,3,4,49,3,4,1,611,1,,3,3,100000
1490,210077,2,2,2,2,2,2,3,3,4,3,2,4,1,2,4,1,1,2,2,3,2,2,2,3,1,3,1,1,1,1,2,4,4,4,1,4,5,1,4,4,3,3,2,3,3,2,4,1,2,3,3,2,2,2,3,2,,2,2,4,4,1,1,2,2,2,2,1,1,2,2,1,1,1,2,2,1,1,2,3,4,3,3,3,3,4,3,2,3,1,2,2,3,1,3,2,1,2,1,2,1,1,2,2,2,,,9,,,,,,2,35,2,,1,4,10,4,,,,,,,2,1,49,3,4,,9,,,2,2,100000
1490,210078,2,2,2,2,3,3,4,4,4,4,2,3,2,2,3,2,1,3,3,3,2,3,4,4,,2,2,2,3,2,3,4,4,4,1,2,3,2,3,3,4,3,2,3,3,2,3,1,1,2,3,2,2,2,3,2,2,2,1,2,4,1,,,,,,1,1,,,4,2,2,1,4,2,2,2,1,2,3,2,4,2,3,3,2,3,1,3,2,3,2,1,2,2,2,2,2,2,2,,2,2,40,2,4,19,3,,1,,1,47,1,,1,4,8,3,,,,,,5,6,97,49,3,4,2,451,3,,,,100000
1490,210079,2,2,1,2,1,1,2,4,4,2,1,4,2,4,4,4,1,2,3,4,1,4,4,4,1,1,1,1,3,2,3,4,4,4,3,3,3,1,3,3,3,2,2,3,4,2,4,1,1,3,3,2,2,2,1,1,2,3,2,3,2,1,1,2,2,2,2,2,,2,,5,5,2,2,3,4,5,3,3,3,2,2,4,3,3,4,,4,2,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,55,2,582,27,3,,1,,2,33,1,,1,3,10,4,,,,,,5,2,1,49,5,4,1,390,3,,2,2,100000
